,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,y
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,1.0,2.0,-3.2034265038149176e-16,0.0,0
1,276.38966398485843,8519.291191830254,-236.3941847760704,57.27744110537677,23.2096075258524,0.4115449626727731,3.588746641780082,3.219320961120716,8.666040869173871,0.3645669555775592,0.2820656097475647,0.964392000845158,0.8806892420415271,-0.1381552576335057,0.740591027313151,0.2682404516660287,16.36330590831144,0.0081510508312151,7.478331769963301,0.4765566631963391,0.0263936681924588,32.72661181662288,4.767018864851086,20.121762157807293,0
2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,1.0,2.0,-3.2034265038149176e-16,0.0,0
3,106.20622203761748,239.1477633353481,-22.500014227811064,6.4242655833354245,2.893221665367049,0.3718375127686502,1.1634995391773335,2.0349860119831886,1.5201846937711392,0.6027468148187064,0.5648166189833578,0.98630894434846,0.9288036716805316,-0.0680883613614367,0.4935770260452441,0.4476345136476988,10.26256244984238,0.0699747775629001,4.655312808208342,0.4114302940432879,0.1808154001454435,20.52512489968475,3.167032947989634,2.329371812175618,0
4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,1.0,2.0,-3.2034265038149176e-16,0.0,0
5,251.7086264942613,9867.057657372248,-128.00418031817668,59.3223943015757,26.595797889881933,0.3823782950500429,3.9402871642246873,3.381655820250334,10.336780050350402,0.3238813861106202,0.2325737063334182,0.9598408120405236,0.8699662822562755,-0.1558877970461916,0.8481322740934062,0.2442598863058724,15.603545497675642,0.0059402204301475,7.707853861950735,0.5189928108010192,0.0152298863193638,31.207090995351287,4.880116145742963,21.479548047864405,0
6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,1.0,2.0,-3.2034265038149176e-16,0.0,0
7,264.94384603242986,31098.91222579638,66.7241299730394,125.2648515399056,20.203217423184583,0.7218615356884363,3.4112868900902176,3.2060102301479656,7.681424174294993,0.3580524804909343,0.2711860116346111,0.9762957611582782,0.8985115999692924,-0.162605899910928,0.8456809875792175,0.2714032203506878,15.446905410039063,0.0039626578215546,8.30782339434597,0.7343283105603687,0.0097876709159735,30.893810820078127,5.408859285356423,36.36701724077255,0
8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1.0,1.0,2.0,-3.2034265038149176e-16,0.0,0
9,271.2795100271244,9420.264681029956,-321.13720677691947,52.58822775925638,25.756794418605125,0.3381053787731395,3.948173904468283,3.374164781675268,9.663092411668767,0.3234121305520477,0.2318355689817074,0.957410632254481,0.8644919257463045,-0.2183494958432725,0.9043875307266224,0.2328568181610394,16.26336310170874,0.0094635925269763,7.023149862687868,0.5826131937088432,0.0257391524111017,32.52672620341748,4.5884746390845885,19.586255544465374,0
